season,week,game_id,team,opponent,is_home,team_score,opp_score,win,total_yards,opp_total_yards,yard_margin,turnovers,opp_turnovers,turnover_margin
2015,2,2015_02_NYJ_IND,IND,NYJ,True,7.0,20.0,False,343.0,344.0,-1.0,5,1.0,-4.0
2015,2,2015_02_NYJ_IND,NYJ,IND,False,20.0,7.0,True,344.0,343.0,1.0,1,5.0,4.0
2015,2,2015_02_SD_CIN,CIN,SD,True,24.0,19.0,True,389.0,,,3,,
2015,2,2015_02_SEA_GB,GB,SEA,True,27.0,17.0,True,363.0,324.0,39.0,1,2.0,1.0
2015,2,2015_02_SEA_GB,SEA,GB,False,17.0,27.0,False,324.0,363.0,-39.0,2,1.0,-1.0
2015,2,2015_02_SF_PIT,PIT,SF,True,43.0,18.0,True,457.0,411.0,46.0,0,1.0,1.0
2015,2,2015_02_SF_PIT,SF,PIT,False,18.0,43.0,False,411.0,457.0,-46.0,1,0.0,-1.0
2015,2,2015_02_STL_WAS,WAS,STL,True,24.0,10.0,True,373.0,,,1,,
2015,2,2015_02_TB_NO,NO,TB,True,19.0,26.0,False,323.0,333.0,-10.0,3,2.0,-1.0
2015,2,2015_02_TB_NO,TB,NO,False,26.0,19.0,True,333.0,323.0,10.0,2,3.0,1.0
2015,2,2015_02_TEN_CLE,CLE,TEN,True,28.0,14.0,True,274.0,385.0,-111.0,0,3.0,3.0
2015,2,2015_02_TEN_CLE,TEN,CLE,False,14.0,28.0,False,385.0,274.0,111.0,3,0.0,-3.0
2015,3,2015_03_ATL_DAL,ATL,DAL,False,39.0,28.0,True,440.0,347.0,93.0,0,1.0,1.0
2015,3,2015_03_ATL_DAL,DAL,ATL,True,28.0,39.0,False,347.0,440.0,-93.0,1,0.0,-1.0
2015,3,2015_03_BUF_MIA,BUF,MIA,False,41.0,14.0,True,428.0,393.0,35.0,0,3.0,3.0
2015,3,2015_03_BUF_MIA,MIA,BUF,True,14.0,41.0,False,393.0,428.0,-35.0,3,0.0,-3.0
2015,3,2015_03_CHI_SEA,CHI,SEA,False,0.0,26.0,False,146.0,371.0,-225.0,0,0.0,0.0
2015,3,2015_03_CHI_SEA,SEA,CHI,True,26.0,0.0,True,371.0,146.0,225.0,0,0.0,0.0
2015,3,2015_03_CIN_BAL,BAL,CIN,True,24.0,28.0,False,398.0,458.0,-60.0,1,2.0,1.0
2015,3,2015_03_CIN_BAL,CIN,BAL,False,28.0,24.0,True,458.0,398.0,60.0,2,1.0,-1.0
2015,3,2015_03_DEN_DET,DEN,DET,False,24.0,12.0,True,354.0,290.0,64.0,2,3.0,1.0
2015,3,2015_03_DEN_DET,DET,DEN,True,12.0,24.0,False,290.0,354.0,-64.0,3,2.0,-1.0
2015,3,2015_03_IND_TEN,IND,TEN,False,35.0,33.0,True,378.0,433.0,-55.0,2,2.0,0.0
2015,3,2015_03_IND_TEN,TEN,IND,True,33.0,35.0,False,433.0,378.0,55.0,2,2.0,0.0
2015,3,2015_03_JAX_NE,JAX,NE,False,17.0,51.0,False,293.0,471.0,-178.0,1,0.0,-1.0
2015,3,2015_03_JAX_NE,NE,JAX,True,51.0,17.0,True,471.0,293.0,178.0,0,1.0,1.0
2015,3,2015_03_KC_GB,GB,KC,True,38.0,28.0,True,448.0,328.0,120.0,0,1.0,1.0
2015,3,2015_03_KC_GB,KC,GB,False,28.0,38.0,False,328.0,448.0,-120.0,1,0.0,-1.0
2015,3,2015_03_NO_CAR,CAR,NO,True,27.0,22.0,True,431.0,380.0,51.0,0,2.0,2.0
2015,3,2015_03_NO_CAR,NO,CAR,False,22.0,27.0,False,380.0,431.0,-51.0,2,0.0,-2.0
2015,3,2015_03_OAK_CLE,CLE,OAK,True,20.0,27.0,False,355.0,,,1,,
2015,3,2015_03_PHI_NYJ,NYJ,PHI,True,17.0,24.0,False,323.0,231.0,92.0,4,1.0,-3.0
2015,3,2015_03_PHI_NYJ,PHI,NYJ,False,24.0,17.0,True,231.0,323.0,-92.0,1,4.0,3.0
2015,3,2015_03_PIT_STL,PIT,STL,False,12.0,6.0,True,259.0,,,1,,
2015,3,2015_03_SD_MIN,MIN,SD,True,31.0,14.0,True,284.0,,,1,,
2015,3,2015_03_SF_ARI,ARI,SF,True,47.0,7.0,True,446.0,156.0,290.0,1,4.0,3.0
2015,3,2015_03_SF_ARI,SF,ARI,False,7.0,47.0,False,156.0,446.0,-290.0,4,1.0,-3.0
2015,3,2015_03_TB_HOU,HOU,TB,True,19.0,9.0,True,413.0,318.0,95.0,1,1.0,0.0
2015,3,2015_03_TB_HOU,TB,HOU,False,9.0,19.0,False,318.0,413.0,-95.0,1,1.0,0.0
2015,3,2015_03_WAS_NYG,NYG,WAS,True,32.0,21.0,True,363.0,395.0,-32.0,0,3.0,3.0
2015,3,2015_03_WAS_NYG,WAS,NYG,False,21.0,32.0,False,395.0,363.0,32.0,3,0.0,-3.0
2015,4,2015_04_BAL_PIT,BAL,PIT,False,23.0,20.0,True,356.0,263.0,93.0,2,0.0,-2.0
2015,4,2015_04_BAL_PIT,PIT,BAL,True,20.0,23.0,False,263.0,356.0,-93.0,0,2.0,2.0
2015,4,2015_04_CAR_TB,CAR,TB,False,37.0,23.0,True,244.0,411.0,-167.0,1,5.0,4.0
2015,4,2015_04_CAR_TB,TB,CAR,True,23.0,37.0,False,411.0,244.0,167.0,5,1.0,-4.0
2015,4,2015_04_CLE_SD,CLE,SD,False,27.0,30.0,False,434.0,,,1,,
2015,4,2015_04_DAL_NO,DAL,NO,False,20.0,26.0,False,335.0,438.0,-103.0,0,0.0,0.0
2015,4,2015_04_DAL_NO,NO,DAL,True,26.0,20.0,True,438.0,335.0,103.0,0,0.0,0.0
2015,4,2015_04_DET_SEA,DET,SEA,False,10.0,13.0,False,256.0,345.0,-89.0,2,2.0,0.0
2015,4,2015_04_DET_SEA,SEA,DET,True,13.0,10.0,True,345.0,256.0,89.0,2,2.0,0.0
2015,4,2015_04_GB_SF,GB,SF,False,17.0,3.0,True,362.0,196.0,166.0,0,1.0,1.0
2015,4,2015_04_GB_SF,SF,GB,True,3.0,17.0,False,196.0,362.0,-166.0,1,0.0,-1.0
2015,4,2015_04_HOU_ATL,ATL,HOU,True,48.0,21.0,True,378.0,428.0,-50.0,0,4.0,4.0
2015,4,2015_04_HOU_ATL,HOU,ATL,False,21.0,48.0,False,428.0,378.0,50.0,4,0.0,-4.0
2015,4,2015_04_JAX_IND,IND,JAX,True,16.0,13.0,True,326.0,431.0,-105.0,2,0.0,-2.0
2015,4,2015_04_JAX_IND,JAX,IND,False,13.0,16.0,False,431.0,326.0,105.0,0,2.0,2.0
2015,4,2015_04_KC_CIN,CIN,KC,True,36.0,21.0,True,447.0,461.0,-14.0,0,1.0,1.0
2015,4,2015_04_KC_CIN,KC,CIN,False,21.0,36.0,False,461.0,447.0,14.0,1,0.0,-1.0
2015,4,2015_04_MIN_DEN,DEN,MIN,True,23.0,20.0,True,344.0,325.0,19.0,2,1.0,-1.0
2015,4,2015_04_MIN_DEN,MIN,DEN,False,20.0,23.0,False,325.0,344.0,-19.0,1,2.0,1.0
2015,4,2015_04_NYG_BUF,BUF,NYG,True,10.0,24.0,False,313.0,305.0,8.0,2,1.0,-1.0
2015,4,2015_04_NYG_BUF,NYG,BUF,False,24.0,10.0,True,305.0,313.0,-8.0,1,2.0,1.0
2015,4,2015_04_NYJ_MIA,MIA,NYJ,True,14.0,27.0,False,226.0,425.0,-199.0,2,1.0,-1.0
2015,4,2015_04_NYJ_MIA,NYJ,MIA,False,27.0,14.0,True,425.0,226.0,199.0,1,2.0,1.0
2015,4,2015_04_OAK_CHI,CHI,OAK,True,22.0,20.0,True,371.0,,,3,,
2015,4,2015_04_PHI_WAS,PHI,WAS,False,20.0,23.0,False,320.0,417.0,-97.0,2,1.0,-1.0
2015,4,2015_04_PHI_WAS,WAS,PHI,True,23.0,20.0,True,417.0,320.0,97.0,1,2.0,1.0
2015,4,2015_04_STL_ARI,ARI,STL,True,22.0,24.0,False,447.0,,,3,,
2015,5,2015_05_ARI_DET,ARI,DET,False,42.0,17.0,True,345.0,435.0,-90.0,0,6.0,6.0
2015,5,2015_05_ARI_DET,DET,ARI,True,17.0,42.0,False,435.0,345.0,90.0,6,0.0,-6.0
2015,5,2015_05_BUF_TEN,BUF,TEN,False,14.0,13.0,True,209.0,276.0,-67.0,0,2.0,2.0
2015,5,2015_05_BUF_TEN,TEN,BUF,True,13.0,14.0,False,276.0,209.0,67.0,2,0.0,-2.0
2015,5,2015_05_CHI_KC,CHI,KC,False,18.0,17.0,True,328.0,287.0,41.0,1,0.0,-1.0
2015,5,2015_05_CHI_KC,KC,CHI,True,17.0,18.0,False,287.0,328.0,-41.0,0,1.0,1.0
2015,5,2015_05_CLE_BAL,BAL,CLE,True,30.0,33.0,False,377.0,507.0,-130.0,0,0.0,0.0
2015,5,2015_05_CLE_BAL,CLE,BAL,False,33.0,30.0,True,507.0,377.0,130.0,0,0.0,0.0
2015,5,2015_05_DEN_OAK,DEN,OAK,False,16.0,10.0,True,297.0,,,3,,
2015,5,2015_05_IND_HOU,HOU,IND,True,20.0,27.0,False,444.0,323.0,121.0,2,0.0,-2.0
2015,5,2015_05_IND_HOU,IND,HOU,False,27.0,20.0,True,323.0,444.0,-121.0,0,2.0,2.0
2015,5,2015_05_JAX_TB,JAX,TB,False,31.0,38.0,False,325.0,371.0,-46.0,2,0.0,-2.0
2015,5,2015_05_JAX_TB,TB,JAX,True,38.0,31.0,True,371.0,325.0,46.0,0,2.0,2.0
2015,5,2015_05_NE_DAL,DAL,NE,True,6.0,30.0,False,265.0,356.0,-91.0,2,0.0,-2.0
2015,5,2015_05_NE_DAL,NE,DAL,False,30.0,6.0,True,356.0,265.0,91.0,0,2.0,2.0
2015,5,2015_05_NO_PHI,NO,PHI,False,17.0,39.0,False,388.0,519.0,-131.0,4,2.0,-2.0
2015,5,2015_05_NO_PHI,PHI,NO,True,39.0,17.0,True,519.0,388.0,131.0,2,4.0,2.0
2015,5,2015_05_PIT_SD,PIT,SD,False,24.0,20.0,True,349.0,,,1,,
2015,5,2015_05_SEA_CIN,CIN,SEA,True,27.0,24.0,True,419.0,397.0,22.0,2,1.0,-1.0
2015,5,2015_05_SEA_CIN,SEA,CIN,False,24.0,27.0,False,397.0,419.0,-22.0,1,2.0,1.0
2015,5,2015_05_SF_NYG,NYG,SF,True,30.0,27.0,True,525.0,380.0,145.0,1,0.0,-1.0
2015,5,2015_05_SF_NYG,SF,NYG,False,27.0,30.0,False,380.0,525.0,-145.0,0,1.0,1.0
2015,5,2015_05_STL_GB,GB,STL,True,24.0,10.0,True,322.0,,,3,,
2015,5,2015_05_WAS_ATL,ATL,WAS,True,25.0,19.0,True,418.0,270.0,148.0,3,2.0,-1.0
2015,5,2015_05_WAS_ATL,WAS,ATL,False,19.0,25.0,False,270.0,418.0,-148.0,2,3.0,1.0
2015,6,2015_06_ARI_PIT,ARI,PIT,False,13.0,25.0,False,469.0,310.0,159.0,3,0.0,-3.0
2015,6,2015_06_ARI_PIT,PIT,ARI,True,25.0,13.0,True,310.0,469.0,-159.0,0,3.0,3.0
2015,6,2015_06_ATL_NO,ATL,NO,False,21.0,31.0,False,413.0,385.0,28.0,3,0.0,-3.0
2015,6,2015_06_ATL_NO,NO,ATL,True,31.0,21.0,True,385.0,413.0,-28.0,0,3.0,3.0
2015,6,2015_06_BAL_SF,BAL,SF,False,20.0,25.0,False,420.0,391.0,29.0,2,0.0,-2.0
2015,6,2015_06_BAL_SF,SF,BAL,True,25.0,20.0,True,391.0,420.0,-29.0,0,2.0,2.0
2015,6,2015_06_CAR_SEA,CAR,SEA,False,27.0,23.0,True,383.0,334.0,49.0,2,0.0,-2.0
2015,6,2015_06_CAR_SEA,SEA,CAR,True,23.0,27.0,False,334.0,383.0,-49.0,0,2.0,2.0
2015,6,2015_06_CHI_DET,CHI,DET,False,34.0,37.0,False,446.0,546.0,-100.0,3,1.0,-2.0
2015,6,2015_06_CHI_DET,DET,CHI,True,37.0,34.0,True,546.0,446.0,100.0,1,3.0,2.0
2015,6,2015_06_CIN_BUF,BUF,CIN,True,21.0,34.0,False,368.0,355.0,13.0,1,0.0,-1.0
2015,6,2015_06_CIN_BUF,CIN,BUF,False,34.0,21.0,True,355.0,368.0,-13.0,0,1.0,1.0
2015,6,2015_06_DEN_CLE,CLE,DEN,True,23.0,26.0,False,298.0,442.0,-144.0,3,3.0,0.0
2015,6,2015_06_DEN_CLE,DEN,CLE,False,26.0,23.0,True,442.0,298.0,144.0,3,3.0,0.0
2015,6,2015_06_HOU_JAX,HOU,JAX,False,31.0,20.0,True,382.0,394.0,-12.0,0,3.0,3.0
2015,6,2015_06_HOU_JAX,JAX,HOU,True,20.0,31.0,False,394.0,382.0,12.0,3,0.0,-3.0
2015,6,2015_06_KC_MIN,KC,MIN,False,10.0,16.0,False,328.0,321.0,7.0,1,2.0,1.0
2015,6,2015_06_KC_MIN,MIN,KC,True,16.0,10.0,True,321.0,328.0,-7.0,2,1.0,-1.0
2015,6,2015_06_MIA_TEN,MIA,TEN,False,38.0,10.0,True,434.0,299.0,135.0,2,4.0,2.0
2015,6,2015_06_MIA_TEN,TEN,MIA,True,10.0,38.0,False,299.0,434.0,-135.0,4,2.0,-2.0
2015,6,2015_06_NE_IND,IND,NE,True,27.0,34.0,False,409.0,417.0,-8.0,0,1.0,1.0
2015,6,2015_06_NE_IND,NE,IND,False,34.0,27.0,True,417.0,409.0,8.0,1,0.0,-1.0
2015,6,2015_06_NYG_PHI,NYG,PHI,False,7.0,27.0,False,247.0,428.0,-181.0,3,4.0,1.0
2015,6,2015_06_NYG_PHI,PHI,NYG,True,27.0,7.0,True,428.0,247.0,181.0,4,3.0,-1.0
2015,6,2015_06_SD_GB,GB,SD,True,27.0,20.0,True,370.0,,,0,,
2015,6,2015_06_WAS_NYJ,NYJ,WAS,True,34.0,20.0,True,474.0,225.0,249.0,3,2.0,-1.0
2015,6,2015_06_WAS_NYJ,WAS,NYJ,False,20.0,34.0,False,225.0,474.0,-249.0,2,3.0,1.0
2015,7,2015_07_ATL_TEN,ATL,TEN,False,10.0,7.0,True,378.0,256.0,122.0,2,2.0,0.0
2015,7,2015_07_ATL_TEN,TEN,ATL,True,7.0,10.0,False,256.0,378.0,-122.0,2,2.0,0.0
2015,7,2015_07_BAL_ARI,ARI,BAL,True,26.0,18.0,True,414.0,278.0,136.0,1,1.0,0.0
2015,7,2015_07_BAL_ARI,BAL,ARI,False,18.0,26.0,False,278.0,414.0,-136.0,1,1.0,0.0
2015,7,2015_07_BUF_JAX,BUF,JAX,False,31.0,34.0,False,377.0,295.0,82.0,4,1.0,-3.0
2015,7,2015_07_BUF_JAX,JAX,BUF,True,34.0,31.0,True,295.0,377.0,-82.0,1,4.0,3.0
2015,7,2015_07_CLE_STL,CLE,STL,False,6.0,24.0,False,364.0,,,4,,
2015,7,2015_07_DAL_NYG,DAL,NYG,False,20.0,27.0,False,460.0,289.0,171.0,3,1.0,-2.0
2015,7,2015_07_DAL_NYG,NYG,DAL,True,27.0,20.0,True,289.0,460.0,-171.0,1,3.0,2.0
2015,7,2015_07_HOU_MIA,HOU,MIA,False,26.0,44.0,False,322.0,503.0,-181.0,1,1.0,0.0
2015,7,2015_07_HOU_MIA,MIA,HOU,True,44.0,26.0,True,503.0,322.0,181.0,1,1.0,0.0
2015,7,2015_07_MIN_DET,DET,MIN,True,19.0,28.0,False,274.0,425.0,-151.0,0,1.0,1.0
2015,7,2015_07_MIN_DET,MIN,DET,False,28.0,19.0,True,425.0,274.0,151.0,1,0.0,-1.0
